French,English
jouer,to play
vont,will
suite,after
leurs,their
chambre,bedroom
premier,first
dirait,would say
vieux,old
première,first
matin,morning
chaque,each
donne,given
yeux,eyes
devrait,should
venu,came
compris,understood
histoire,history
aucun,no
tiens,here
cause,cause
attendez,Wait
minutes,minutes
donné,given
eau,water
chercher,search
perdu,lost
trouve,find
écoute,listen
voici,here is
parti,left
parle,speak
longtemps,long time
police,police
pendant,while
bébé,baby
heures,hours
nouvelle,new
